Time (s),Voltage (V),Resistance (Ohm)
0.00033926963806152344,5.04,-3991022.0
0.0006761550903320312,5.04,-3870189.5
0.0009598731994628906,5.04,-3837033.25
0.0012335777282714844,5.04,-3955709.75
0.0015108585357666016,5.04,-3870189.5
0.0017833709716796875,5.04,-4026929.75
0.0020537376403808594,5.04,-3772370.0
0.002331972122192383,5.05,-3634628.75
0.002602815628051758,5.05,-3679413.75
0.002874135971069336,5.04,-3740875.75
0.003143787384033203,5.04,-3772370.0
0.003449678421020508,5.04,-3837033.25
0.003726482391357422,5.04,-3820669.0
0.00399470329284668,5.04,-4008894.75
0.004266262054443359,5.04,-3756556.25
0.0047528743743896484,5.04,-3853539.5
0.005021810531616211,5.04,-3991022.0
0.005285501480102539,5.04,-3804445.0
0.005549430847167969,5.04,-3921065.75
0.005814552307128906,5.04,-3740875.75
0.006075620651245117,5.04,-3887028.25
0.00633549690246582,5.04,-3921065.75
0.00659632682800293,5.04,-4584710.0
0.006856441497802734,5.03,-5323575.5
0.007116794586181641,5.04,-4063542.0
0.007381439208984375,5.03,-5925883.0
0.007642507553100586,5.04,-3870189.5
0.007902145385742188,5.04,-4026929.75
0.008162736892700195,5.03,-5260751.0
0.0084228515625,5.04,-4008894.75
0.008683919906616211,5.03,-5080776.0
0.008946418762207031,5.03,-4885952.5
0.009206533432006836,5.04,-4492437.5
0.009483098983764648,5.03,-5453950.0
0.009749412536621094,5.04,-4197020.5
0.010012388229370117,5.03,-5291975.5
0.010284900665283203,5.03,-4832973.5
0.010548591613769531,5.04,-4425694.0
0.010812520980834961,5.03,-5925883.0
0.01107335090637207,5.04,-4082077.0
0.011333703994750977,5.03,-5169187.5
0.01159524917602539,5.03,-4806948.5
0.015718460083007812,5.04,-4277361.5
0.027884721755981445,5.03,-5139400.0
0.03649330139160156,5.04,-3903972.25
0.048774003982543945,5.04,-4236832.5
0.06107926368713379,5.04,-4158004.0
0.07336950302124023,5.04,-4045175.5
0.08562111854553223,5.03,-5420778.5
0.09806489944458008,5.04,-4177420.25
0.11022329330444336,5.03,-4912849.0
0.1224977970123291,5.03,-5323575.5
0.1348268985748291,5.04,-4425694.0
0.1471090316772461,5.03,-6005832.5
0.1593952178955078,5.04,-4515196.5
0.17163968086242676,5.03,-5199324.5
0.18389582633972168,5.03,-5387928.0
0.19609737396240234,5.04,-4318733.0
0.20836234092712402,5.03,-6172531.0
0.22060227394104004,5.04,-4561300.5
0.23282289505004883,5.03,-4755735.5
0.2450728416442871,5.03,-5521533.5
0.2572646141052246,5.04,-4382242.5
0.265869140625,5.03,-6215641.5
0.27818775177001953,5.04,-4339696.0
0.29041409492492676,5.04,-4447719.0
