Time (s),Voltage (V),Resistance (Ohm)
0.0019986629486083984,5.05,-3374768.5
0.003741025924682617,5.04,-3772370.0
0.005535602569580078,5.05,-3349593.0
0.007295131683349609,5.05,-3634628.75
0.008823156356811523,5.05,-3619956.25
0.009636640548706055,5.05,-3362133.0
0.010024785995483398,5.04,-3756556.25
0.01042795181274414,5.05,-3452675.0
0.010800361633300781,5.05,-3576611.25
0.011240482330322266,5.05,-3679413.75
0.011618614196777344,5.05,-3387500.0
0.011966466903686523,4.87,1215818.37
0.012332439422607422,4.79,754355.37
0.01266336441040039,4.76,649876.81
0.012999534606933594,4.81,818338.87
0.01562643051147461,5.05,-3349593.0
0.016012907028198242,5.04,-3804445.0
0.01635909080505371,5.05,-3452675.0
0.016696691513061523,5.04,-3709868.25
0.017050981521606445,5.05,-3605402.75
0.017391443252563477,5.05,-3324762.5
0.017726421356201172,5.04,-3837033.25
0.018065452575683594,5.05,-3374768.5
0.0184018611907959,5.05,-3534336.5
0.018735170364379883,5.05,-3605402.75
0.019070863723754883,5.05,-3349593.0
0.019375085830688477,4.78,729125.43
0.019680500030517578,4.68,476357.65
0.01998448371887207,4.57,352007.9
0.020285367965698242,4.51,302408.37
0.020586490631103516,4.4,240915.73
0.020939111709594727,4.16,164147.34
0.021256208419799805,4.02,135013.78
0.021561384201049805,3.92,120079.0
0.021854162216186523,3.19,58384.26
0.0221407413482666,2.97,48416.15
0.02242565155029297,2.79,41635.31
0.022711992263793945,2.71,38920.89
0.02300095558166504,2.64,36771.12
0.023286104202270508,2.55,34269.72
0.02357006072998047,2.42,30931.81
0.02385878562927246,2.27,27465.86
0.024144411087036133,2.02,22326.19
0.024429798126220703,1.84,19133.73
0.027059316635131836,1.7,17046.45
0.03928375244140625,1.59,15448.37
0.051671743392944336,1.47,13796.89
0.0638728141784668,1.38,12568.31
0.07647585868835449,1.33,11935.41
0.08919167518615723,1.29,11449.68
0.10169100761413574,1.26,11095.54
0.11398744583129883,1.24,10849.45
0.12608766555786133,1.22,10688.36
0.13805389404296875,1.21,10506.92
0.15008044242858887,1.19,10322.72
0.16202998161315918,1.18,10176.06
0.1714329719543457,1.17,10032.49
0.18362784385681152,1.16,9940.1
0.19562268257141113,1.15,9839.76
0.20731830596923828,1.14,9760.65
0.2194225788116455,1.13,9683.91
0.23181724548339844,1.13,9626.02
0.24405360221862793,1.12,9572.41
0.25638580322265625,1.12,9506.6
0.26861071586608887,1.11,9441.0
0.28075623512268066,1.11,9375.6
0.2929832935333252,1.1,9306.34
0.3014190196990967,1.1,9263.67
0.31394290924072266,1.09,9217.03
0.3263416290283203,1.09,9180.61
0.33903002738952637,1.08,9142.23
0.351487398147583,1.08,9103.92
0.3637819290161133,1.08,9069.7
0.37600016593933105,1.07,9033.53
0.38835954666137695,1.07,9009.45
0.4005467891693115,1.07,8983.4
0.4124879837036133,1.07,8949.37
0.42446184158325195,1.06,8927.39
0.4364786148071289,1.06,8895.45
0.4457285404205322,1.06,8871.53
0.4580843448638916,1.06,8851.62
0.4703376293182373,1.06,8825.76
0.48248767852783203,1.05,8805.89
0.4939563274383545,1.05,8778.1
0.5061421394348145,1.05,8760.26
0.5186219215393066,1.05,8742.43
0.532088041305542,1.05,8722.64
0.5439736843109131,1.04,8706.82
0.5552816390991211,1.04,8692.99
0.5674779415130615,1.04,8667.32
0.5796597003936768,1.04,8647.6
0.5883088111877441,1.04,8625.93
0.6005644798278809,1.04,8618.06
0.6130821704864502,1.03,8598.39
0.625847339630127,1.03,8584.63
0.6381802558898926,1.03,8572.84
0.650507926940918,1.03,8555.17
0.66278076171875,1.03,8541.44
0.6751890182495117,1.03,8525.76
0.6872591972351074,1.03,8512.04
0.6990444660186768,1.02,8498.34
0.711174488067627,1.02,8482.69
0.722973108291626,1.02,8470.96
0.7323534488677979,1.02,8455.33
0.7447762489318848,1.02,8449.48
0.7570059299468994,1.02,8433.86
0.7692501544952393,1.02,8422.16
0.7817659378051758,1.02,8422.16
0.7941207885742188,1.02,8408.52
0.8049709796905518,1.02,8410.46
0.8171875476837158,1.01,8398.78
0.8293964862823486,1.01,8396.83
0.8416895866394043,1.01,8392.94
0.853797435760498,1.01,8381.26
0.8622205257415771,1.01,8379.31
0.8749086856842041,1.01,8377.37
0.8872506618499756,1.01,8377.37
0.8995041847229004,1.01,8373.47
0.9120948314666748,1.01,8367.64
0.9247357845306396,1.01,8367.64
0.9372756481170654,1.01,8363.75
0.9494409561157227,1.01,8363.75
0.96173095703125,1.01,8365.7
0.9736526012420654,1.01,8359.86
0.9857585430145264,1.01,8359.86
0.9975931644439697,1.01,8348.2
1.0057027339935303,1.01,8344.32
1.0180366039276123,1.01,8346.26
1.0306034088134766,1.01,8342.37
1.0427963733673096,1.01,8338.49
1.0557050704956055,1.01,8328.78
1.0671031475067139,1.01,8321.02
1.0797688961029053,1.01,8319.08
1.091980218887329,1.01,8309.38
1.1042089462280273,1.01,8313.26
1.1166901588439941,1.0,8299.69
1.129045009613037,1.0,8291.94
1.140904426574707,1.0,8288.06
1.1501924991607666,1.0,8272.57
1.1623520851135254,1.0,8268.7
1.174652338027954,1.0,8253.22
1.1869924068450928,1.0,8245.49
1.1986980438232422,1.0,8235.82
1.2105374336242676,1.0,8226.17
1.22292160987854,1.0,8228.1
1.2352092266082764,1.0,8220.37
1.2473738193511963,1.0,8220.37
1.2595829963684082,1.0,8216.51
1.271742582321167,1.0,8208.79
1.283785104751587,1.0,8210.72
1.2925260066986084,1.0,8199.14
1.3049428462982178,0.99,8197.22
1.3172671794891357,0.99,8195.29
1.3295869827270508,0.99,8193.36
1.341858148574829,0.99,8197.22
1.3546030521392822,0.99,8195.29
1.3671464920043945,0.99,8197.22
1.379636287689209,0.99,8193.36
1.3915929794311523,0.99,8187.57
1.4036266803741455,0.99,8193.36
1.4153892993927002,0.99,8179.87
1.4245960712432861,0.99,8183.72
1.4369409084320068,0.99,8183.72
1.4492557048797607,0.99,8177.94
1.4614803791046143,0.99,8176.01
1.473790168762207,0.99,8166.38
1.485917568206787,0.99,8166.38
1.498553991317749,0.99,8162.53
1.5106456279754639,0.99,8160.6
1.5228767395019531,0.99,8158.68
1.5347912311553955,0.99,8152.9
1.5467541217803955,0.99,8154.83
1.5588793754577637,0.99,8149.06
1.5678231716156006,0.99,8145.21
1.580237627029419,0.99,8149.06
1.5915930271148682,0.99,8141.36
1.603869915008545,0.99,8149.06
1.6163451671600342,0.99,8143.29
1.628812551498413,0.99,8139.44
1.64158296585083,0.99,8139.44
1.6539816856384277,0.99,8131.75
1.6661243438720703,0.99,8139.44
1.6780548095703125,0.99,8139.44
1.6900410652160645,0.99,8139.44
1.7020387649536133,0.99,8150.98
1.7112689018249512,0.99,8145.21
1.7234790325164795,0.99,8147.13
1.7358927726745605,0.99,8147.13
1.748302936553955,0.99,8143.29
1.7604656219482422,0.99,8139.44
1.7727348804473877,0.99,8135.59
1.7849831581115723,0.99,8137.51
1.7972347736358643,0.99,8135.59
1.8083810806274414,0.99,8131.75
1.8205077648162842,0.99,8137.51
1.8328025341033936,0.99,8131.75
1.844886064529419,0.99,8135.59
1.8534903526306152,0.99,8127.9
1.865999460220337,0.99,8129.82
1.8783063888549805,0.99,8129.82
1.890627384185791,0.99,8125.98
1.9027483463287354,0.99,8127.9
1.9161627292633057,0.99,8124.06
1.9284210205078125,0.99,8129.82
