Time (s),Voltage (V),Resistance (Ohm)
0.5217121000168845,3.7,93953.61
0.5339524999726564,3.71,94413.12
0.5462896999670193,3.7,94137.02
0.5585670999716967,3.71,94634.9
0.5708972999709658,3.7,94394.69
0.5832270999671891,3.7,94173.77
0.5955182000179775,3.7,94357.82
0.6075115000130609,3.7,94173.77
0.6197312999865972,3.71,94838.84
0.6318590000155382,3.71,94542.39
0.6404685999732465,3.7,94063.58
0.6527550999890082,3.71,95080.74
0.6650365999666974,3.71,94560.89
0.6773173999972641,3.71,94950.38
0.6895690999808721,3.71,94820.28
0.7018728000111878,3.7,94228.92
0.7142417000140995,3.71,95323.55
0.726449900015723,3.7,94155.37
0.7387053999700584,3.71,95155.35
0.7509182000067085,3.71,94801.73
0.7631533999810927,3.7,94339.39
0.7753012999892235,3.71,94913.17
0.7875707999919541,3.7,94284.12
0.7997051000129431,3.71,94838.84
0.808336700021755,3.71,94783.16
0.8207619999884628,3.71,94857.42
0.8332733999704942,3.71,95230.03
0.8453303999849595,3.71,94653.41
0.8576094000018202,3.72,95604.84
0.8698349000187591,3.71,95211.36
0.8821068999823183,3.71,94505.45
0.894359199970495,3.71,94876.0
0.9067224999889731,3.71,94579.37
0.9188578000175767,3.72,95604.84
0.9310317999916151,3.71,94783.16
0.9431944999960251,3.7,94302.55
0.9553905000211671,3.71,94690.46
0.9640221999725327,3.7,94155.37
0.9762633999926038,3.72,95642.44
0.9885334999999031,3.71,94671.94
1.000858600018546,3.71,94523.92
1.013115999987349,3.71,94820.28
1.0254116000141948,3.7,93953.61
1.0376928999903612,3.71,94820.28
1.0499958000145853,3.7,94045.25
1.062326800019946,3.7,94063.58
1.0745057999738492,3.7,94228.92
1.0866991999791935,3.7,93479.18
1.0988541999831796,3.71,94671.94
1.1110460999771021,3.7,94302.55
1.119686099991668,3.7,94008.57
1.131987000000663,3.71,94671.94
1.1449150000116788,3.7,94247.33
1.1571566999773495,3.71,95323.55
1.1689081999938935,3.71,95099.37
1.181144799978938,3.71,94727.53
1.1934745999751613,3.71,95099.37
1.2058512999792583,3.7,94394.69
1.2181074999971315,3.72,95510.93
1.2303272999706678,3.71,94746.06
1.2425080999964848,3.7,94339.39
1.2546275000204332,3.71,95024.85
1.2667917999788187,3.7,93971.92
1.2788880000007339,3.71,95192.69
1.287588000006508,3.71,94579.37
1.2999444999732077,3.71,94727.53
1.312228899972979,3.71,94653.41
1.3245393999968655,3.7,93935.28
1.3367667999700643,3.72,95454.67
1.3490492000128143,3.71,94764.62
1.3613465999951586,3.71,94486.96
1.3735328000038862,3.71,95192.69
1.3858632000046782,3.71,94523.92
1.3980692999903113,3.72,95680.06
1.4102649000124075,3.71,95174.01
1.4227422999683768,3.71,94597.89
1.434806799981743,3.71,95174.01
1.4435040999669582,3.71,94876.0
1.455651799973566,3.72,95642.44
1.468091299990192,3.71,95155.35
1.480748699977994,3.71,94690.46
1.4931183999869972,3.71,94468.5
1.5057812000159174,3.7,94155.37
1.5181185000110418,3.71,95080.74
