Time (s),Voltage (V),Resistance (Ohm)
0.0009637000039219856,3.29,63484.17
0.0015488000062759966,3.31,64348.72
0.0020318000169936568,3.3,63994.64
0.0024907000188250095,3.3,63781.29
0.002937900018878281,3.3,63941.22
0.0033742000232450664,3.29,63431.32
0.003821400023298338,3.31,64370.27
0.004265399998985231,3.3,63930.53
0.004707400017650798,3.29,63728.1
0.005152700003236532,3.3,63994.64
0.0055973000125959516,3.29,63706.84
0.006146400002762675,3.31,64348.72
0.0066380000207573175,3.3,63898.52
0.007104000018443912,3.29,63696.22
0.007569400011561811,3.3,64026.72
0.008034099999349564,3.29,63728.1
0.010673800017684698,3.3,64337.96
0.011157100001582876,3.3,63919.86
0.01161280000815168,3.29,63674.97
0.012058599997544661,3.3,63941.22
0.012498600000981241,3.29,63621.9
0.012939600012032315,3.3,64241.16
0.013377199997194111,3.3,63898.52
0.01381450000917539,3.29,63558.28
0.014255300018703565,3.3,63951.89
0.014689900010125712,3.29,63600.69
0.015126700018299744,3.31,64381.03
0.01556729999720119,3.3,64026.72
0.01612889999523759,3.29,63770.65
0.016590100014582276,3.3,63994.64
0.017037400015396997,3.29,63590.07
0.017484900017734617,3.31,64424.17
0.017928000015672296,3.3,63930.53
0.018373800005065277,3.3,63898.52
0.0188180000113789,3.3,63951.89
0.01926100000855513,3.29,63696.22
0.01970370000344701,3.31,64370.27
0.020143300003837794,3.3,63930.53
0.02057370002148673,3.3,63781.29
0.021012700017308816,3.3,63919.86
0.021454400004586205,3.29,63664.34
0.02189520001411438,3.31,64402.6
0.022335600020596758,3.3,63951.89
0.022777500009397045,3.3,63866.52
0.023222200019517913,3.3,63983.94
0.02367170000798069,3.29,63717.46
0.02411920001031831,3.3,64284.15
0.024569900007918477,3.3,63791.94
0.02510450000409037,3.29,63674.97
0.025560200010659173,3.3,63951.89
0.026011900015873834,3.29,63632.5
0.0265679000003729,3.31,64402.6
0.02702180002233945,3.3,63887.84
0.02746920002391562,3.3,63994.64
0.027915500017115846,3.3,64016.03
0.028364500001771376,3.29,63770.65
0.028811800002586097,3.31,64402.6
0.029255400004331023,3.3,63909.18
0.02970340001047589,3.3,63930.53
0.03015080001205206,3.3,63930.53
