Time (s),Resistance (Ohm),Voltage (V),Displacement,Force (N),Strain,Stress (MPa),Resistance Smoothed (Ohm)
0.0,63125.83,3.28,0.1313,0.0137,0.7519,0.0,63115.33
0.000342700019246,63146.84,3.28,0.13135483200307935,0.01370342700019246,0.7522238515181875,0.0,63104.83
0.0006117000011728,63073.37,3.28,0.13139787200018765,0.013706117000011729,0.7524780565011083,0.0,63099.59
0.0008692000119482,63273.06,3.29,0.1314390720019117,0.013708692000119482,0.752721394011291,0.0,63104.83
0.0011249000090175001,63073.37,3.28,0.1314799840014428,0.013711249000090176,0.7529630305085215,0.0,63104.83
0.0013779000146315,63104.83,3.28,0.13152046400234105,0.013713779000146316,0.7532021155138268,0.0,63104.83
0.0016300000133925002,63094.35,3.28,0.1315608000021428,0.013716300000133925,0.753440350012656,0.0,63094.35
0.0018804999999702003,63094.35,3.28,0.13160087999999523,0.013718804999999702,0.7536770724999718,0.0,63094.35
0.002132099994924,63104.83,3.28,0.13164113599918784,0.01372132099994924,0.7539148344952032,0.0,63104.83
0.002381800004514,63104.83,3.28,0.13168108800072223,0.01372381800004514,0.7541508010042658,0.0,63094.35
0.0026346000086051,63094.35,3.28,0.13172153600137682,0.013726346000086051,0.7543896970081319,0.0,63094.35
0.0028852999967058,63073.37,3.28,0.13176164799947293,0.013728852999967059,0.754626608496887,0.0,63094.35
0.0031366000184790003,63125.83,3.28,0.13180185600295663,0.01373136600018479,0.7548640870174627,0.0,63104.83
0.0033884000149556,63125.83,3.28,0.13184214400239289,0.013733884000149556,0.755102038014133,0.0,63104.83
0.0036392000038177,63094.35,3.28,0.13188227200061084,0.013736392000038178,0.7553390440036077,0.0,63125.83
0.0114931999996771,63094.35,3.28,0.13313891199994835,0.01381493199999677,0.7627610739996948,0.0,63125.83
0.011746400006814,63252.0,3.29,0.13317942400109023,0.01381746400006814,0.7630003480064392,0.0,63125.83
0.0119944000034593,63178.36,3.28,0.13321910400055348,0.013819944000034593,0.7632347080032691,0.0,63125.83
0.0122400000109338,63178.36,3.28,0.1332584000017494,0.013822400000109338,0.7634668000103325,0.0,63136.34
0.0124855000176467,63136.34,3.28,0.13329768000282347,0.013824855000176467,0.7636987975166761,0.0,63136.34
0.0127287000068464,63125.83,3.28,0.13333659200109543,0.013827287000068463,0.7639286215064699,0.0,63136.34
0.012973000004422,63041.91,3.28,0.1333756800007075,0.01382973000004422,0.7641594850041789,0.0,63136.34
0.0132155000173953,63136.34,3.28,0.13341448000278325,0.013832155000173952,0.7643886475164385,0.0,63136.34
0.0134590000088793,63178.36,3.28,0.1334534400014207,0.013834590000088793,0.7646187550083909,0.0,63136.34
0.0137017999950331,63115.34,3.28,0.1334922879992053,0.013837017999950331,0.7648482009953063,0.0,63125.83
0.013945100014098,63283.6,3.29,0.13353121600225568,0.01383945100014098,0.7650781195133226,0.0,63115.34
0.0141867999918759,63052.39,3.28,0.13356988799870015,0.013841867999918758,0.7653065259923227,0.0,63115.34
0.0144304000132252,63157.35,3.28,0.13360886400211602,0.013844304000132252,0.7655367280124978,0.0,63136.34
0.0146720999910031,63052.39,3.28,0.1336475359985605,0.01384672099991003,0.765765134491498,0.0,63146.84
0.0149162000161596,63073.37,3.28,0.13368659200258554,0.013849162000161595,0.7659958090152709,0.0,63136.34
0.015157699992414599,63115.34,3.28,0.13372523199878633,0.013851576999924146,0.7662240264928318,0.0,63136.34
0.0154225000005681,63378.51,3.29,0.1337676000000909,0.01385422500000568,0.7664742625005369,0.0,63136.34
0.0156663999950979,63157.35,3.28,0.13380662399921567,0.013856663999950978,0.7667047479953676,0.0,63146.84
0.0159055000112858,63146.84,3.28,0.13384488000180572,0.013859055000112858,0.7669306975106651,0.0,63146.84
0.0161487000004854,63136.34,3.28,0.13388379200007766,0.013861487000004852,0.7671605215004588,0.0,63146.84
0.0163919999904465,63073.37,3.28,0.13392271999847144,0.013863919999904464,0.767390439990972,0.0,63146.84
0.0166469000105281,63146.84,3.28,0.1339635040016845,0.01386646900010528,0.7676313205099491,0.0,63146.84
0.0169225000136067,63146.84,3.28,0.13400760000217707,0.013869225000136065,0.7678917625128584,0.0,63146.84
0.0171944000176154,63188.88,3.28,0.13405110400281847,0.013871944000176153,0.7681487080166466,0.0,63146.84
0.0174495000101161,63157.35,3.28,0.13409192000161857,0.013874495000101161,0.7683897775095597,0.0,63157.35
0.0177002999989782,63041.91,3.28,0.13413204799983652,0.013877002999989781,0.7686267834990345,0.0,63157.35
0.0179508000146598,63199.39,3.28,0.13417212800234557,0.013879508000146597,0.7688635060138536,0.0,63157.35
