Time (s),Resistance (Ohm),Voltage (V),Displacement,Force (N),Strain,Stress (MPa),Resistance Smoothed (Ohm)
0.0,62614.07,3.27,0.1226,0.0154,0.7092,0.0,62603.68
0.0005663999763783,62303.42,3.27,0.1226991199958662,0.015402831999881891,0.7097918879753153,0.0,62593.29
0.0010364999761805,63010.48,3.28,0.12278138749583159,0.015405182499880902,0.7102831424751087,0.0,62603.68
0.001494800002547,62593.29,3.27,0.12286159000044572,0.015407474000012735,0.7107620660026617,0.0,62593.29
0.0019498999754433,62334.39,3.27,0.12294123249570257,0.015409749499877216,0.7112376454743383,0.0,62562.16
0.0024016999814194,62624.46,3.27,0.1230202974967484,0.015412008499907098,0.7117097764805833,0.0,62593.29
0.0028516000020318002,62200.32,3.27,0.12309903000035556,0.015414258000010159,0.7121799220021233,0.0,62531.03
0.0033007999882102,62979.06,3.28,0.12317763999793678,0.015416503999941052,0.7126493359876797,0.0,62593.29
0.0037521999911405003,62531.03,3.27,0.12325663499844959,0.015418760999955703,0.7131210489907418,0.0,62541.4
0.0041955999913625,62489.57,3.27,0.12333422999848843,0.015420977999956812,0.7135844019909738,0.0,62541.4
0.004632800002582401,62614.07,3.27,0.12341074000045192,0.015423164000012913,0.7140412760026986,0.0,62582.91
0.005163399997400101,62324.07,3.27,0.12350359499954501,0.015425816999987001,0.7145957529972832,0.0,62541.4
0.005649899976560801,62958.12,3.28,0.12358873249589813,0.015428249499882805,0.715104145475506,0.0,62582.91
0.0061138999881223,62541.4,3.27,0.1236699324979214,0.015430569499940611,0.7155890254875878,0.0,62541.4
0.006577299995115001,62582.91,3.27,0.12375102749914513,0.015432886499975575,0.7160732784948952,0.0,62541.4
0.0070676000032108,62655.64,3.28,0.12383683000056188,0.015435338000016055,0.7165856420033553,0.0,62582.91
0.0153753999911714,62344.72,3.27,0.125290694998455,0.015476876999955856,0.7252672929907741,0.0,62541.4
0.0158599999849685,63010.48,3.28,0.12537549999736947,0.015479299999924843,0.7257736999842921,0.0,62582.91
0.0163154999900144,62541.4,3.27,0.1254552124982525,0.015481577499950072,0.726249697489565,0.0,62541.4
0.0167622999870218,62427.43,3.27,0.1255334024977288,0.015483811499935109,0.7267166034864377,0.0,62541.4
0.0172102999931667,62624.46,3.27,0.12561180249880416,0.015486051499965833,0.7271847634928592,0.0,62541.4
0.0176548000017647,62334.39,3.27,0.1256895900003088,0.015488274000008823,0.7276492660018441,0.0,62510.3
0.018106000003172102,62958.12,3.28,0.12576855000055512,0.015490530000015861,0.7281207700033148,0.0,62541.4
0.018551999994088,62510.3,3.27,0.12584659999896539,0.01549275999997044,0.7285868399938219,0.0,62541.4
0.0190016999840736,62448.14,3.27,0.12592529749721287,0.015495008499920368,0.7290567764833569,0.0,62510.3
0.0194448999827728,62572.52,3.27,0.12600285749698523,0.015497224499913864,0.7295199204819975,0.0,62572.52
0.019882599997799802,62365.39,3.27,0.12607945499961495,0.015499412999988998,0.7299773169977007,0.0,62510.3
0.0203218999959063,63136.34,3.28,0.12615311349932454,0.015506437999918125,0.730412242996029,0.0,62572.52
0.0208616000018083,62634.85,3.27,0.12624216400029836,0.015517232000036166,0.730935752001754,0.0,62572.52
0.0213201000005938,62458.5,3.27,0.12631781650009796,0.015526402000011876,0.731380497000576,0.0,62582.91
0.0217640999762807,62624.46,3.27,0.1263910764960863,0.015535281999525613,0.7318111769769923,0.0,62593.29
0.0222071000025608,62365.39,3.27,0.12646417150042252,0.015544142000051216,0.7322408870024839,0.0,62593.29
0.0226525999896694,63020.95,3.28,0.12653767899829543,0.015553051999793389,0.7326730219899793,0.0,62603.68
0.023097900004359,62582.91,3.27,0.12661115350071922,0.01556195800008718,0.7331049630042282,0.0,62593.29
0.0235275999875739,62593.29,3.27,0.12668205399794968,0.015570551999751478,0.7335217719879467,0.0,62593.29
0.023966599983396,62603.68,3.27,0.12675448899726033,0.01557933199966792,0.7339476019838941,0.0,62593.29
0.0244032999908086,62324.07,3.27,0.1268265444984834,0.015588065999816172,0.7343712009910843,0.0,62582.91
0.024839299992891,62937.21,3.28,0.126898484498827,0.01559678599985782,0.7347941209931043,0.0,62593.29
0.025352700002258602,62531.03,3.27,0.12698319550037265,0.015607054000045173,0.7352921190021908,0.0,62582.91
0.025793499982683002,62614.07,3.27,0.12705592749714267,0.015615869999653661,0.7357196949832026,0.0,62593.29
0.0262340999906883,62582.91,3.27,0.12712862649846357,0.015624681999813766,0.7361470769909677,0.0,62582.91
0.0267684999853373,62417.09,3.27,0.12721680249758063,0.015635369999706748,0.7366654449857772,0.0,62541.4
0.027214699977776,63020.95,3.28,0.12729042549633304,0.015644293999555522,0.7370982589784427,0.0,62582.91
0.0276529999973718,62541.4,3.27,0.12736274499956635,0.015653059999947438,0.7375234099974507,0.0,62562.16
0.0280885999964084,62593.29,3.27,0.1274346189994074,0.01566177199992817,0.7379459419965162,0.0,62562.16
0.0285260999808088,62541.4,3.27,0.12750680649683344,0.015670521999616178,0.7383703169813846,0.0,62562.16
0.0289627999882214,62231.22,3.27,0.12757886199805651,0.01567925599976443,0.7387939159885748,0.0,62541.4
0.0293990999925882,62989.53,3.28,0.12765085149877706,0.015687981999851764,0.7392171269928106,0.0,62562.16
0.0298322000016924,62562.16,3.27,0.12772231300027925,0.01569664400003385,0.7396372340016417,0.0,62551.78
0.0302737999882083,62531.03,3.27,0.12779517699805437,0.015705475999764167,0.7400655859885621,0.0,62562.16
0.0307122999802232,62614.07,3.27,0.12786752949673683,0.015714245999604463,0.7404909309808165,0.0,62562.16
0.031148999987635803,62262.15,3.27,0.1279395849979599,0.015722979999752716,0.7409145299880068,0.0,62562.16
0.0315852999920025,63052.39,3.28,0.12801157449868042,0.01573170599984005,0.7413377409922425,0.0,62614.07
0.0320210999925621,62551.78,3.27,0.12808348149877274,0.015740421999851244,0.7417604669927853,0.0,62562.16
0.0324550999794155,62614.07,3.27,0.12815509149660356,0.015749101999588313,0.7421814469800331,0.0,62614.07
0.0328947999805678,62666.04,3.28,0.12822764199679368,0.015757895999611356,0.7426079559811508,0.0,62614.07
0.0333289999980479,62386.07,3.27,0.1282992849996779,0.01576657999996096,0.7430291299981066,0.0,62551.78
0.0337671999877784,63052.39,3.28,0.12837158799798343,0.01577534399975557,0.7434541839881451,0.0,62614.07
0.034206299984362,62520.66,3.27,0.12844403949741973,0.015784125999687242,0.7438801109848312,0.0,62551.78
0.0346468999923673,62624.46,3.27,0.1285167384987406,0.015792937999847347,0.7443074929925964,0.0,62614.07
0.0350838000013027,62551.78,3.27,0.12858882700021496,0.015801676000026056,0.7447312860012637,0.0,62551.78
0.0355261999939103,62303.42,3.27,0.1286618229989952,0.015810523999878208,0.745160413994093,0.0,62551.78
0.0359619999944698,63041.91,3.28,0.12873372999908753,0.0158192399998894,0.7455831399946358,0.0,62551.78
0.0364032999787014,62499.92,3.27,0.12880654449648574,0.01582806599957403,0.7460112009793405,0.0,62551.78
0.0368809999781661,62614.07,3.27,0.1288853649963974,0.015837619999563325,0.7464745699788212,0.0,62572.52
0.0374125999805983,62551.78,3.27,0.12897307899679872,0.015848251999611967,0.7469902219811805,0.0,62562.16
0.0379174999834504,62334.39,3.27,0.1290563874972693,0.01585834999966901,0.747479974983947,0.0,62562.16
0.0384096999769099,63136.34,3.28,0.12913760049619014,0.0158681939995382,0.7479574089776028,0.0,62572.52
0.0389141999767162,62572.52,3.27,0.12922084299615816,0.015878283999534327,0.7484467739774149,0.0,62562.16
0.039415899984305704,62624.46,3.27,0.12930362349741045,0.015888317999686118,0.7489334229847766,0.0,62562.16
0.0399205999856349,62562.16,3.27,0.12938689899762976,0.0158984119997127,0.7494229819860659,0.0,62562.16
0.0404229999985546,62344.72,3.27,0.12946767999976874,0.01591903499993496,0.7498955049986487,0.0,62562.16
0.0409257999854162,63010.48,3.28,0.1295481279976666,0.015941660999343733,0.7503656229863642,0.0,62572.52
0.0414275999937672,62520.66,3.27,0.12962841599900274,0.01596424199971953,0.7508348059941724,0.0,62562.16
0.0419794999761507,62551.78,3.27,0.12971671999618412,0.015989077498926786,0.7513508324777011,0.0,62562.16
0.0424895999894943,62614.07,3.27,0.12979833599831908,0.01601203199952725,0.7518277759901772,0.0,62551.78
0.0429954999999609,62282.78,3.27,0.12987927999999374,0.016034797499998244,0.7523007924999635,0.0,62541.4
0.0434986999898683,62905.83,3.28,0.12995979199837893,0.01605744149954408,0.752771284490527,0.0,62551.78
0.0440906999865547,62531.03,3.27,0.13005451199784876,0.016084081499394966,0.7533248044874288,0.0,62551.78
0.0446761999919545,62645.24,3.27,0.13014819199871272,0.016110428999637955,0.7538722469924776,0.0,62593.29
0.0452667999779806,62541.4,3.27,0.1302426879964769,0.016137005999009132,0.7544244579794119,0.0,62593.29
0.0458551999763586,62406.74,3.27,0.13033683199621737,0.01616348399893614,0.7549746119778954,0.0,62562.16
0.0464437999762595,63041.91,3.28,0.13043100799620153,0.016189970998931682,0.7555249529778028,0.0,62593.29
0.0470311999961268,62593.29,3.27,0.13052499199938028,0.01621640399982571,0.7560741719963786,0.0,62562.16
0.0476156999939121,62666.04,3.28,0.13061851199902594,0.016242706499726048,0.7566206794943079,0.0,62593.29
0.0481997999886516,62562.16,3.27,0.13071196799818427,0.016268990999489325,0.7571668129893894,0.0,62562.16
0.0487856999970973,62303.42,3.27,0.13080571199953556,0.016295356499869382,0.7577146294972861,0.0,62562.16
0.0493666999973357,63010.48,3.28,0.13089867199957372,0.016321501499880108,0.758257864497509,0.0,62593.29
0.0499528999789618,62365.39,3.27,0.1309924639966339,0.016347880499053283,0.7588059614803294,0.0,62562.16
0.0505397999950219,62666.04,3.28,0.1310863679992035,0.016374290999775987,0.7593547129953455,0.0,62562.16
0.051131099986378103,62510.3,3.27,0.1311809759978205,0.016400899499387018,0.7599075784872636,0.0,62562.16
0.0517246999952476,62334.39,3.27,0.1312759519992396,0.016427611499786145,0.7604625944955565,0.0,62510.3
0.0523204999917652,63031.42,3.28,0.13137127999868242,0.016454422499629435,0.7610196674923005,0.0,62572.52
0.05291169998236,62427.43,3.27,0.1314658719971776,0.016481026499206203,0.7615724394835067,0.0,62510.3
0.0535007999860682,62728.48,3.28,0.13156012799777092,0.01650753599937307,0.7621232479869738,0.0,62572.52
0.0540836000000127,62572.52,3.27,0.13165337600000204,0.016533762000000573,0.762668166000012,0.0,62572.52
0.0546766999759711,62313.75,3.27,0.13174827199615538,0.016560451498918702,0.7632227144775331,0.0,62572.52
