Time (s),Resistance (Ohm),Voltage (V),Displacement,Force (N),Strain,Stress (MPa),Resistance Smoothed (Ohm)
0.0,67357.33,3.36,0.1229,0.0115,0.7169,0.0,67385.955
0.00033070001518350003,67380.24,3.36,0.12295456550250528,0.011496692999848165,0.7172224325148039,0.0,67391.67
0.0006010000070091001,67391.67,3.36,0.1229991650011565,0.01149398999992991,0.7174859750068339,0.0,67403.13
0.0008588999917265,67277.28,3.35,0.12304171849863486,0.011491411000082734,0.7177374274919334,0.0,67391.67
0.001115299994126,67483.39,3.36,0.12308402449903079,0.01148884700005874,0.7179874174942729,0.0,67403.13
0.0013698000111616998,67426.06,3.36,0.12312601700184168,0.011486301999888383,0.7182355550108827,0.0,67391.67
0.0016293000080623,67414.59,3.36,0.12316883450133027,0.011483706999919376,0.7184885675078607,0.0,67403.14
0.0018836999952326998,67460.45,3.36,0.1232108104992134,0.011481163000047673,0.7187366074953518,0.0,67403.14
0.0021396999945864003,67323.02,3.36,0.12325305049910676,0.011478603000054136,0.7189862074947218,0.0,67403.14
0.0023928000009619003,67414.59,3.36,0.12329481200015871,0.011476071999990381,0.7192329800009378,0.0,67403.14
0.0026471000164747004,67311.57,3.36,0.12333677150271832,0.011473528999835253,0.7194809225160629,0.0,67380.24
0.0028991000144742004,67403.14,3.36,0.12337835150238824,0.011471008999855257,0.7197266225141123,0.0,67380.24
0.0031540000054519996,67380.24,3.36,0.12342041000089958,0.01146845999994548,0.7199751500053158,0.0,67380.24
0.0034054999996442,67380.24,3.36,0.12346190749994129,0.011465945000003558,0.7202203624996532,0.0,67380.24
0.0036597000143955994,67380.24,3.36,0.12350385050237528,0.011463402999856043,0.7204682075140357,0.0,67403.14
0.012227800005348401,67323.02,3.36,0.1249175870008825,0.011377721999946515,0.7288221050052148,0.0,67380.24
0.012699300015810901,67403.14,3.36,0.12499538450260882,0.01137300699984189,0.7292818175154158,0.0,67403.14
0.0131515999964904,67506.35,3.36,0.12507001399942094,0.011368484000035095,0.7297228099965782,0.0,67380.24
0.0135844000033103,67494.86,3.36,0.1251414260005462,0.011364155999966897,0.7301447900032276,0.0,67380.24
0.014014599990332501,67471.92,3.36,0.12521240899840488,0.011359854000096673,0.7305642349905743,0.0,67391.67
0.0144419000134803,67345.9,3.36,0.12528291350222426,0.011355580999865196,0.7309808525131434,0.0,67403.14
0.0148664000153076,67403.14,3.36,0.12535295600252577,0.011351335999846923,0.731394740014925,0.0,67403.14
0.0152958999969996,67345.9,3.36,0.12542382349950496,0.011347041000030002,0.7318135024970747,0.0,67391.67
0.0157231999910436,67265.86,3.35,0.1254943279985222,0.011342768000089563,0.7322301199912676,0.0,67368.78
0.016149400005815502,67391.67,3.36,0.12556465100095957,0.011338505999941843,0.7326456650056702,0.0,67368.78
0.0165759999945294,67403.14,3.36,0.12563503999909736,0.011334240000054705,0.7330615999946662,0.0,67368.78
0.0171069999923929,67357.33,3.36,0.12572265499874485,0.01132893000007607,0.7335793249925832,0.0,67380.24
0.0175637000065762,67345.9,3.36,0.12579801050108508,0.011324362999934237,0.734024607506412,0.0,67380.24
0.018020099989371402,67368.78,3.36,0.1258733164982463,0.011319799000106285,0.7344695974896372,0.0,67380.24
0.0184551000129431,67380.24,3.36,0.12594509150213562,0.011315448999870567,0.7348937225126196,0.0,67380.24
0.0188877999898978,67414.59,3.36,0.12601648699833315,0.01131112200010102,0.7353156049901505,0.0,67368.78
0.019319799990626,67414.59,3.36,0.1260877669984533,0.011306802000093739,0.7357368049908605,0.0,67368.78
0.019752399995923,67414.59,3.36,0.12615914599932732,0.011302476000040768,0.736158589996025,0.0,67380.24
0.020184399996651302,67368.78,3.36,0.12623042599944748,0.011308297999849313,0.7365797899967351,0.0,67403.14
0.0206153999897651,67323.02,3.36,0.12630154099831126,0.011327692999539432,0.7370000149900211,0.0,67403.14
0.0210479999950621,67345.9,3.36,0.12637291999918526,0.011347159999777798,0.7374217999951856,0.0,67414.59
0.0214702000084799,67403.14,3.36,0.1264425830013992,0.011366159000381598,0.7378334450082681,0.0,67403.14
0.0219022000092082,67426.06,3.36,0.12651386300151937,0.011385599000414373,0.7382546450089781,0.0,67403.14
0.0223324999969918,67552.28,3.36,0.12658486249950368,0.011404962499864635,0.7386741874970671,0.0,67380.24
0.022679599991533902,67357.33,3.36,0.1266421339986031,0.011420581999619029,0.7390126099917457,0.0,67403.14
0.0229278999904636,67426.06,3.36,0.1266831034984265,0.011431755499570866,0.7392547024907021,0.0,67403.14
0.023174600006314,67357.33,3.36,0.12672380900104183,0.011442857000284133,0.7394952350061563,0.0,67403.14
0.0234230000060052,67414.59,3.36,0.1267647950009909,0.011454035000270238,0.7397374250058552,0.0,67391.67
0.0236697999935131,67380.24,3.36,0.1268055169989297,0.011465140999708093,0.7399780549936754,0.0,67391.67
0.0239182999939658,67552.28,3.36,0.12684651949900438,0.011476323499728465,0.7402203424941168,0.0,67391.67
0.0241658000159077,67391.67,3.36,0.1268873570026248,0.01148746100071585,0.7404616550155101,0.0,67403.14
0.0244139000133146,67357.33,3.36,0.12692829350219692,0.011498625500599161,0.7407035525129819,0.0,67391.67
0.0246612000046298,67391.67,3.36,0.12696909800076395,0.011509754000208344,0.7409446700045141,0.0,67391.67
0.024908499995945,67632.76,3.36,0.12700990249933095,0.011520882499817529,0.7411857874960465,0.0,67391.67
0.0251558999880217,67403.14,3.36,0.1270507234980236,0.011532015499460981,0.7414270024883213,0.0,67391.67
0.0254175000009127,67414.59,3.36,0.1270938875001506,0.011543787500041074,0.74168206250089,0.0,67391.67
0.0256650999945123,67334.45,3.36,0.12713474149909454,0.011554929499753057,0.7419234724946496,0.0,67391.67
0.0259128999896347,67368.78,3.36,0.12717562849828976,0.011566080499533565,0.7421650774898939,0.0,67403.14
0.026160100009292402,67357.33,3.36,0.12721641650153326,0.011577204500418162,0.7424060975090602,0.0,67414.59
0.0264089000120293,67563.77,3.36,0.12725746850198486,0.011588400500541322,0.7426486775117287,0.0,67414.59
0.0266560000018217,67323.02,3.36,0.1272982400003006,0.01159952000008198,0.7428896000017763,0.0,67426.06
0.026903099991614,67426.06,3.36,0.12733901149861632,0.011610639499622634,0.7431305224918238,0.0,67426.06
0.0271510000166017,67517.82,3.36,0.1273799150027393,0.01162179500074708,0.7433722250161868,0.0,67426.06
0.027399400016292902,67724.92,3.36,0.12742090100268835,0.011632973000733184,0.7436144150158857,0.0,67426.06
0.0276476000144612,67471.92,3.36,0.1274618540023861,0.011644142000650757,0.7438564100140997,0.0,67426.06
0.0278967999911401,67437.52,3.36,0.12750297199853813,0.011655355999601309,0.7440993799913618,0.0,67426.06
0.0281442000123206,67414.59,3.36,0.12754379300203292,0.01166648900055443,0.7443405950120127,0.0,67426.06
0.0283939999935683,67391.67,3.36,0.1275850099989388,0.011677729999710578,0.7445841499937292,0.0,67414.59
0.0286435000016354,67391.67,3.36,0.12762617750026986,0.011688957500073597,0.7448274125015947,0.0,67414.59
0.028894399991259,67265.86,3.35,0.12766757599855774,0.011700247999606658,0.7450720399914776,0.0,67414.59
0.0292030000127852,67506.35,3.36,0.12771849500210958,0.011714135000575337,0.7453729250124657,0.0,67414.59
0.0294591000129003,67345.9,3.36,0.12776075150212857,0.011725659500580517,0.7456226225125779,0.0,67414.59
0.0297100000025239,67380.24,3.36,0.12780215000041648,0.011736950000113579,0.7458672500024609,0.0,67414.59
0.0299593000090681,67437.52,3.36,0.12784328450149626,0.011748168500408069,0.7461103175088415,0.0,67437.52
0.030275500001153,67414.59,3.36,0.12789545750019027,0.01176239750005189,0.7464186125011243,0.0,67448.99
0.0305289000098128,67506.35,3.36,0.12793726850161913,0.01177380050044158,0.7466656775095676,0.0,67448.99
0.0307783999887761,67494.86,3.36,0.12797843599814807,0.011785027999494928,0.7469089399890568,0.0,67437.52
0.031025300006149302,67483.39,3.36,0.12801917450101466,0.011796138500276722,0.7471496675059957,0.0,67437.52
0.0312754999904428,67448.99,3.36,0.12806045749842307,0.01180739749956993,0.7473936124906818,0.0,67437.52
0.0315365999995265,67460.45,3.36,0.12810353899992188,0.011819146999978696,0.7476481849995384,0.0,67448.99
0.0317782000056468,67345.9,3.36,0.12814340300093174,0.01183001900025411,0.7478837450055057,0.0,67448.99
0.0320195000094827,67345.9,3.36,0.12818321750156467,0.011840877500426726,0.7481190125092457,0.0,67426.06
0.0322619999933522,67368.78,3.36,0.12822322999890312,0.011851789999700853,0.7483554499935186,0.0,67380.24
0.032517799991183004,67380.24,3.36,0.1282654369985452,0.011863300999603239,0.7486048549914035,0.0,67380.24
0.0327669999969657,67586.77,3.36,0.12830655499949936,0.01187451499986346,0.7488478249970417,0.0,67380.24
0.033015199995134,67357.33,3.36,0.12834750799919714,0.011885683999781033,0.7490898199952558,0.0,67380.24
0.0332641999993939,67426.06,3.36,0.12838859299990002,0.01189688899997273,0.7493325949994092,0.0,67380.24
0.0335110000160057,67380.24,3.36,0.12842931500264096,0.01190799500072026,0.7495732250156056,0.0,67391.67
