Time (s),Resistance (Ohm),Voltage (V),Displacement,Force (N),Strain,Stress (MPa),Resistance Smoothed (Ohm)
0.0,55981.77,3.15,0.286,0.0051,1.6387,0.0,55999.77
0.0002546310424804,56044.8,3.15,0.28604201412200925,0.0051,1.6389533578872681,0.0,55981.77
0.0004754066467285,56017.77,3.15,0.2860784420967102,0.0051,1.639173029613495,0.0,55995.265
0.0006890296936035,55972.76,3.15,0.2861136898994446,0.0051,1.6393855845451355,0.0,55981.77
0.0009365081787109,56017.77,3.15,0.28615452384948725,0.0051,1.6396318256378173,0.0,55990.77
0.0012605190277099,55963.78,3.15,0.2862079856395721,0.0051,1.6399542164325713,0.0,55981.77
0.0014717578887939,55981.77,3.15,0.28624284005165096,0.0051,1.64016439909935,0.0,55999.77
0.0016820430755615,56008.76,3.15,0.2862775371074676,0.0051,1.6403736328601837,0.0,55981.77
0.0018923282623290998,55963.78,3.15,0.2863122341632843,0.0051,1.6405828666210176,0.0,55981.77
0.0021018981933593,55999.77,3.15,0.28634681320190425,0.0051,1.6407913887023926,0.0,55981.77
0.0023119449615478,55963.78,3.15,0.28638147091865535,0.0051,1.64100038523674,0.0,55981.77
0.0025207996368408,56080.85,3.15,0.2864159319400787,0.0051,1.6412081956386566,0.0,55981.77
0.002730131149292,55981.77,3.15,0.28645047163963316,0.0051,1.6414164804935456,0.0,55999.77
0.0029404163360595,55945.79,3.14,0.2864851686954498,0.0051,1.6416257142543793,0.0,55999.77
0.0031507015228271,55936.81,3.14,0.2865198657512665,0.0051,1.641834948015213,0.0,55999.77
0.0033605098724365,56044.8,3.15,0.286554484128952,0.0051,1.6420437073230745,0.0,55990.76
0.0039012432098388004,56026.78,3.15,0.2866437051296234,0.0051,1.6425817369937896,0.0,55990.76
0.0041117668151855,56044.8,3.15,0.2866784415245056,0.0051,1.6427912079811096,0.0,55990.76
0.0043177604675293,56008.76,3.15,0.2867124304771423,0.0051,1.6429961716651917,0.0,55990.76
0.0045223236083984,55981.77,3.15,0.2867461833953857,0.0051,1.6431997119903565,0.0,55990.76
0.0047266483306885,55990.76,3.15,0.2867798969745636,0.0051,1.643403015089035,0.0,55990.76
0.0049314498901367,55990.76,3.15,0.28681368923187256,0.0051,1.643606792640686,0.0,55990.76
0.0051381587982177,55981.77,3.15,0.2868477962017059,0.0051,1.6438124680042268,0.0,55981.77
0.0053403377532959,55945.79,3.14,0.2868811557292938,0.0051,1.6440136360645294,0.0,55981.77
0.0055441856384277,55963.78,3.15,0.28691479063034053,0.0051,1.6442164647102355,0.0,55981.77
0.0057473182678222,55963.78,3.15,0.28694830751419065,0.0051,1.6444185816764831,0.0,55981.77
0.0059511661529541,56035.78,3.15,0.2869819424152374,0.0051,1.6446214103221894,0.0,55972.76
