Time (s),Resistance (Ohm),Voltage (V),Displacement,Force (N),Strain,Stress (MPa),Resistance Smoothed (Ohm)
0.0,39299.06,2.72,0.1528,0.0089,1.538,0.0,39307.965
0.0012843608856200998,39287.17,2.72,0.15299265413284302,0.008932109022140502,1.5401320390701294,0.0,39310.94
0.0018415451049804002,39304.99,2.72,0.15307623176574706,0.00894603862762451,1.5410569648742676,0.0,39316.885
0.0021204948425293003,39310.94,2.72,0.15311807422637938,0.008953012371063232,1.5415200214385987,0.0,39310.94
0.002396821975708,39328.76,2.72,0.15315952329635618,0.0089599205493927,1.5419787244796752,0.0,39307.965
0.0026731491088866997,39328.76,2.72,0.15320097236633298,0.008966828727722167,1.542437427520752,0.0,39304.99
0.0029487609863281,39322.83,2.72,0.1532423141479492,0.008973719024658202,1.5428949432373047,0.0,39304.99
0.0032243728637695,39352.55,2.72,0.15328365592956542,0.008980609321594238,1.5433524589538574,0.0,39304.99
0.0034992694854736,39304.99,2.72,0.15332489042282102,0.00898748173713684,1.5438087873458861,0.0,39304.99
0.0037746429443359,39293.12,2.72,0.15336619644165037,0.008994366073608397,1.5442659072875975,0.0,39304.99
0.0040500164031982,39299.06,2.72,0.1534075024604797,0.009001250410079955,1.544723027229309,0.0,39304.99
0.004324197769165,39293.12,2.72,0.15344862966537473,0.009008104944229125,1.545178168296814,0.0,39299.06
0.0045981407165527,39304.99,2.72,0.1534897211074829,0.009014953517913817,1.5456329135894775,0.0,39299.06
0.0048716068267822,39299.06,2.72,0.15353074102401731,0.009021790170669555,1.5460868673324584,0.0,39299.06
0.0051453113555908,39299.06,2.72,0.15357179670333862,0.00902863278388977,1.5465412168502808,0.0,39299.06
0.0054209232330322,39310.94,2.72,0.1536131384849548,0.009035523080825805,1.5469987325668335,0.0,39299.06
0.007397174835205,39293.12,2.72,0.15390957622528073,0.009084929370880125,1.5502793102264403,0.0,39299.06
0.0076758861541747995,39334.72,2.72,0.1539513829231262,0.00909189715385437,1.5507419710159303,0.0,39299.06
0.0079357624053955,39316.88,2.72,0.15399036436080932,0.009098394060134888,1.5511733655929565,0.0,39299.06
0.0081946849822998,39352.55,2.72,0.15402920274734497,0.009104867124557495,1.5516031770706176,0.0,39293.12
0.0084517002105713,39287.17,2.72,0.15406775503158568,0.009111292505264282,1.5520298223495483,0.0,39287.17
0.0087182521820068,39257.5,2.72,0.154107737827301,0.00911795630455017,1.5524722986221313,0.0,39287.17
0.008967638015747,39287.17,2.72,0.15414514570236204,0.009124190950393674,1.55288627910614,0.0,39269.37
0.0092179775238037,39245.64,2.72,0.15418269662857054,0.009130449438095092,1.5533018426895142,0.0,39269.37
0.0094678401947021,39263.43,2.72,0.15422017602920532,0.009136696004867552,1.5537166147232055,0.0,39263.43
0.00972580909729,39257.5,2.72,0.1542588713645935,0.00914314522743225,1.5541448431015015,0.0,39263.43
0.0099711418151855,39263.43,2.72,0.1542956712722778,0.009149278545379638,1.554552095413208,0.0,39263.43
0.0102148056030273,39269.37,2.72,0.1543322208404541,0.009155370140075683,1.5549565773010252,0.0,39269.37
0.0104572772979736,39275.3,2.72,0.15436859159469604,0.00916143193244934,1.5553590803146362,0.0,39263.43
0.010699987411499,39263.43,2.72,0.15440499811172484,0.009167499685287475,1.5557619791030883,0.0,39269.37
0.0109419822692871,39293.12,2.72,0.15444129734039305,0.009173549556732177,1.5561636905670166,0.0,39275.3
0.0111854076385498,39275.3,2.72,0.15447781114578246,0.009179635190963745,1.5565677766799926,0.0,39275.3
0.0114288330078125,39310.94,2.72,0.15451432495117187,0.009185720825195313,1.5569718627929687,0.0,39275.3
0.0116720199584961,39257.5,2.72,0.1545508029937744,0.009191800498962403,1.5573755531311035,0.0,39275.3
0.0119142532348632,39287.17,2.72,0.15458713798522947,0.00919785633087158,1.557777660369873,0.0,39275.3
0.0121557712554931,39275.3,2.72,0.15462336568832397,0.009203894281387327,1.5581785802841186,0.0,39275.3
0.0123982429504394,39257.5,2.72,0.1546597364425659,0.009209956073760985,1.5585810832977294,0.0,39275.3
0.0126421451568603,39269.37,2.72,0.15469632177352904,0.009216053628921507,1.558985960960388,0.0,39287.17
0.0128858089447021,39263.43,2.72,0.1547328713417053,0.009222145223617553,1.5593904428482055,0.0,39287.17
0.0131278038024902,39287.17,2.72,0.1547691705703735,0.009228195095062255,1.5597921543121336,0.0,39287.17
0.0133705139160156,39287.17,2.72,0.15480557708740234,0.00923426284790039,1.560195053100586,0.0,39287.17
0.013612508773803699,39287.17,2.72,0.15484187631607055,0.009240312719345093,1.560596764564514,0.0,39287.17
0.013855457305908201,39293.12,2.72,0.15487831859588622,0.009246386432647705,1.5610000591278075,0.0,39293.12
0.014552116394042901,39322.83,2.72,0.15498281745910641,0.009263802909851073,1.562156513214111,0.0,39293.12
0.026874542236328097,39299.06,2.72,0.15686555404663086,0.0094,1.5831960762023924,0.0,39293.12
