Time (s),Voltage (V),Resistance (Ohm)
0.0009709000587463379,2.64,36826.5
0.0015573999844491482,2.64,36815.41
0.0020230000372976065,2.64,36798.8
0.0024491000222042203,2.64,36815.41
0.0028652000473812222,2.64,36809.87
0.003275600029155612,2.64,36820.95
0.0036835999926552176,2.64,36837.58
0.004090799950063229,2.64,36809.87
0.0045001000398769975,2.64,36815.41
0.004909600014798343,2.64,36815.41
0.00531889998819679,2.64,36837.58
0.005727599957026541,2.64,36865.3
0.006195100024342537,2.64,36815.41
0.006629699957557023,2.64,36832.03
0.007119099958799779,2.64,36809.87
0.007537800003774464,2.64,36820.95
0.01007499999832362,2.64,36826.5
0.010506600025109947,2.64,36826.5
0.0109148999908939,2.64,36820.95
0.011316900025121868,2.64,36804.33
0.01171650004107505,2.64,36804.33
0.012163999956101179,2.64,36809.87
0.012572600040584803,2.64,36804.33
0.012979299994185567,2.64,36832.03
0.013385200058110058,2.64,36843.12
0.013792500016279519,2.64,36854.21
0.014196799951605499,2.64,36820.95
0.014602900017052889,2.64,36832.03
0.01500709995161742,2.64,36809.87
0.015474900021217763,2.64,36804.33
0.015898599987849593,2.64,36809.87
0.01630789996124804,2.64,36815.41
0.016711500007659197,2.64,36826.5
0.01711090002208948,2.64,36815.41
0.017604000051505864,2.64,36809.87
0.018015200039371848,2.64,36820.95
0.018424300011247396,2.64,36815.41
0.01882969995494932,2.64,36832.03
0.019404100021347404,2.64,36826.5
0.01981510000769049,2.64,36815.41
0.020221299957484007,2.64,36820.95
0.020645900047384202,2.64,36804.33
0.021050899988040328,2.64,36809.87
0.02145370002835989,2.64,36815.41
0.021867500036023557,2.64,36826.5
0.02227129996754229,2.64,36815.41
0.02267450001090765,2.64,36815.41
0.023073900025337934,2.64,36837.58
0.023478199960663915,2.64,36815.41
0.023879999993368983,2.64,36809.87
0.024283200036734343,2.64,36832.03
0.02468919998500496,2.64,36815.41
0.032164899981580675,2.64,36809.87
0.04452630004379898,2.64,36798.8
0.05696730001363903,2.64,36787.73
