Time (s),Voltage (V),Resistance (Ohm)
0.0006504000048153102,3.26,62015.29
0.0009988999809138477,3.27,62179.72
0.001269600004889071,3.27,62251.84
0.0015261999797075987,3.27,62138.56
0.0017834999889601022,3.26,62087.16
0.002034799981629476,3.26,62046.08
0.0022865999781060964,3.26,61994.78
0.0025375999975949526,3.26,62025.56
0.0027883999864570796,3.26,62035.82
0.0030411999905481935,3.26,61974.28
0.003291100001661107,3.26,62035.82
0.0035419999912846833,3.26,62076.89
0.003792699979385361,3.26,62056.35
0.004043499997351319,3.26,62015.29
0.004291599994758144,3.26,62087.16
0.00609379998059012,3.27,62190.01
0.006357699981890619,3.27,62190.01
0.006611999997403473,3.26,61902.58
0.006866699986858293,3.26,62087.16
0.007118499983334914,3.26,62035.82
0.007372799998847768,3.26,62046.08
0.0076256000029388815,3.26,62087.16
0.007879699987825006,3.26,61984.53
0.00813099998049438,3.26,62097.44
0.008383299980778247,3.26,62015.29
0.008635599981062114,3.26,62035.82
0.008888599986676127,3.27,62117.99
0.009139400004642084,3.26,61933.3
0.009391500003403053,3.27,62179.72
0.009648299979744479,3.27,62107.72
0.009893499984173104,3.26,62087.16
0.010138299985555932,3.27,62159.14
0.010384399996837601,3.26,61994.78
0.010628799995174631,3.26,62015.29
0.010877799999434501,3.26,62056.35
0.01112250000005588,3.26,62066.62
0.011405199998989701,3.26,62005.04
0.011662799981422722,3.27,62117.99
0.011912699992535636,3.26,62066.62
0.01215799999772571,3.26,62025.56
0.012403799977619201,3.26,62076.89
0.012648699979763478,3.26,62076.89
0.0128944999887608,3.27,62159.14
0.01313740000477992,3.27,62138.56
0.013383699988480657,3.26,62087.16
0.01362630000221543,3.26,62066.62
0.01387070000055246,3.26,62046.08
0.014113899989752099,3.26,62076.89
0.014370199991390109,3.26,62066.62
0.01461459998972714,3.27,62128.28
0.014859999995678663,3.26,62046.08
0.015103699988685548,3.26,62087.16
0.015350400004535913,3.26,61892.35
0.015593199990689754,3.26,62056.35
0.01583819999359548,3.26,62066.62
0.016080899978987873,3.26,62097.44
0.016326099983416498,3.27,62138.56
0.01657009997870773,3.27,62169.44
0.01681609998922795,3.26,62056.35
0.01705909997690469,3.26,62046.08
0.017303400003584102,3.27,62107.72
0.017545799986692145,3.27,62107.72
0.017785999982152134,3.26,61953.78
0.01803089998429641,3.26,62056.35
0.01827709999633953,3.26,62066.62
0.018520699988584965,3.26,62046.08
0.018766699999105185,3.26,62056.35
0.019009999989066273,3.27,62148.85
