Date_Time,Elapsed_Time_s,Temperature_C,Temperature_F,Humidity_percent,Heat_Index_C,Heat_Index_F
2026-09-17 16:13:36,1.52,24.5,76.1,99.9,25.61,78.11
2026-09-17 16:13:38,3.54,28.1,82.58,99.9,36.72,98.1
2026-09-17 16:13:40,5.56,29.2,84.56,99.9,40.97,105.74
2026-09-17 16:13:42,7.58,30.1,86.18,99.9,44.76,112.56
2026-09-17 16:13:44,9.61,30.9,87.62,99.9,48.46,119.23
2026-09-17 16:13:46,11.63,31.5,88.7,99.9,51.49,124.68
2026-09-17 16:13:48,13.65,32.1,89.78,99.9,54.64,130.35
2026-09-17 16:13:50,15.67,32.5,90.5,99.9,56.81,134.26
2026-09-17 16:13:52,17.69,32.9,91.22,99.9,59.03,138.26
2026-09-17 16:13:54,19.71,33.3,91.94,99.9,61.31,142.36
2026-09-17 16:13:56,21.74,33.6,92.48,99.9,63.06,145.51
2026-09-17 16:13:58,23.76,33.9,93.02,99.9,64.84,148.71
2026-09-17 16:14:00,25.78,34.2,93.56,99.9,66.65,151.96
2026-09-17 16:14:03,27.8,34.3,93.74,99.9,67.25,153.06
2026-09-17 16:14:05,29.82,34.5,94.1,99.9,68.49,155.27
2026-09-17 16:14:07,31.84,34.6,94.28,99.9,69.1,156.39
2026-09-17 16:14:09,33.87,34.7,94.46,99.9,69.73,157.51
2026-09-17 16:14:11,35.89,34.8,94.64,99.9,70.36,158.64
2026-09-17 16:14:13,37.91,35.0,95.0,99.9,71.62,160.92
2026-09-17 16:14:15,39.93,35.1,95.18,99.9,72.26,162.06
2026-09-17 16:14:17,41.96,35.1,95.18,99.9,72.26,162.06
2026-09-17 16:14:19,43.98,35.2,95.36,99.9,72.9,163.22
2026-09-17 16:14:21,46.0,35.2,95.36,99.9,72.9,163.22
2026-09-17 16:14:23,48.02,35.2,95.36,99.9,72.9,163.22
2026-09-17 16:14:25,50.04,35.3,95.54,99.9,73.54,164.38
2026-09-17 16:14:27,52.07,35.3,95.54,99.9,73.54,164.38
2026-09-17 16:14:29,54.09,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:14:31,56.11,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:14:33,58.13,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:14:35,60.16,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:14:37,62.17,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:14:39,64.2,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:14:41,66.22,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:14:43,68.24,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:14:45,70.26,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:14:47,72.29,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:14:49,74.31,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:14:51,76.33,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:14:53,78.35,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:14:55,80.37,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:14:57,82.4,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:14:59,84.42,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:15:01,86.44,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:15:03,88.46,35.3,95.54,99.9,73.54,164.38
2026-09-17 16:15:05,90.48,35.3,95.54,99.9,73.54,164.38
2026-09-17 16:15:07,92.5,35.3,95.54,99.9,73.54,164.38
2026-09-17 16:15:09,94.53,35.3,95.54,99.9,73.54,164.38
2026-09-17 16:15:11,96.55,35.3,95.54,99.9,73.54,164.38
2026-09-17 16:15:13,98.57,35.3,95.54,99.9,73.54,164.38
2026-09-17 16:15:15,100.59,35.3,95.54,99.9,73.54,164.38
2026-09-17 16:15:17,102.62,35.3,95.54,99.9,73.54,164.38
2026-09-17 16:15:19,104.64,35.3,95.54,99.9,73.54,164.38
2026-09-17 16:15:21,106.66,35.3,95.54,99.9,73.54,164.38
2026-09-17 16:15:23,108.68,35.2,95.36,99.9,72.9,163.22
2026-09-17 16:15:25,110.7,35.2,95.36,99.9,72.9,163.22
2026-09-17 16:15:27,112.73,35.2,95.36,99.9,72.9,163.22
2026-09-17 16:15:29,114.74,35.2,95.36,99.9,72.9,163.22
2026-09-17 16:15:31,116.77,35.2,95.36,99.9,72.9,163.22
2026-09-17 16:15:34,118.79,35.1,95.18,99.9,72.26,162.06
2026-09-17 16:15:36,120.81,35.1,95.18,99.9,72.26,162.06
2026-09-17 16:15:38,122.83,35.1,95.18,99.9,72.26,162.06
2026-09-17 16:15:40,124.86,35.0,95.0,99.9,71.62,160.92
2026-09-17 16:15:42,126.88,35.0,95.0,99.9,71.62,160.92
2026-09-17 16:15:44,128.9,35.0,95.0,99.9,71.62,160.92
2026-09-17 16:15:46,130.92,35.0,95.0,99.9,71.62,160.92
2026-09-17 16:15:48,132.95,34.9,94.82,99.9,70.99,159.78
