Date_Time,Elapsed_Time_s,Temperature_C,Temperature_F,Humidity_percent,Heat_Index_C,Heat_Index_F
2026-09-17 16:25:31,1.52,26.4,79.52,99.9,29.74,85.53
2026-09-17 16:25:33,3.54,26.6,79.88,99.9,30.42,86.76
2026-09-17 16:25:35,5.56,26.9,80.42,99.9,32.56,90.61
2026-09-17 16:25:37,7.58,27.1,80.78,99.9,33.22,91.79
2026-09-17 16:25:39,9.6,27.4,81.32,99.9,34.23,93.62
2026-09-17 16:25:41,11.62,27.7,81.86,99.9,35.28,95.5
2026-09-17 16:25:43,13.65,28.1,82.58,99.9,36.72,98.1
2026-09-17 16:25:45,15.66,28.4,83.12,99.9,37.84,100.11
2026-09-17 16:25:47,17.69,28.7,83.66,99.9,38.99,102.17
2026-09-17 16:25:49,19.71,28.9,84.02,99.9,39.77,103.58
2026-09-17 16:25:51,21.73,29.2,84.56,99.9,40.97,105.74
2026-09-17 16:25:53,23.75,29.5,85.1,99.9,42.2,107.96
2026-09-17 16:25:55,25.78,29.8,85.64,99.9,43.46,110.23
2026-09-17 16:25:57,27.8,30.1,86.18,99.9,44.76,112.56
2026-09-17 16:25:59,29.82,30.4,86.72,99.9,46.08,114.95
2026-09-17 16:26:01,31.84,30.6,87.08,99.9,47.0,116.59
2026-09-17 16:26:03,33.86,30.9,87.62,99.9,48.46,119.23
2026-09-17 16:26:05,35.89,31.2,88.16,99.9,49.96,121.93
2026-09-17 16:26:07,37.91,31.4,88.52,99.9,50.98,123.76
2026-09-17 16:26:09,39.93,31.6,88.88,99.9,52.0,125.61
2026-09-17 16:26:11,41.95,31.8,89.24,99.9,53.05,127.49
2026-09-17 16:26:13,43.97,32.1,89.78,99.9,54.64,130.35
2026-09-17 16:26:15,45.99,32.2,89.96,99.9,55.18,131.32
2026-09-17 16:26:17,48.02,32.4,90.32,99.9,56.26,133.27
2026-09-17 16:26:19,50.04,32.5,90.5,99.9,56.81,134.26
2026-09-17 16:26:21,52.06,32.7,90.86,99.9,57.91,136.25
2026-09-17 16:26:24,54.08,33.0,91.4,99.9,59.6,139.28
2026-09-17 16:26:26,56.11,33.2,91.76,99.9,60.74,141.33
2026-09-17 16:26:28,58.13,33.4,92.12,99.9,61.89,143.41
2026-09-17 16:26:30,60.15,33.6,92.48,99.9,63.06,145.51
2026-09-17 16:26:32,62.17,33.8,92.84,99.9,64.24,147.63
2026-09-17 16:26:34,64.2,34.0,93.2,99.9,65.44,149.79
2026-09-17 16:26:36,66.22,34.2,93.56,99.9,66.65,151.96
2026-09-17 16:26:38,68.24,34.4,93.92,99.9,67.87,154.16
2026-09-17 16:26:40,70.26,34.5,94.1,99.9,68.49,155.27
2026-09-17 16:26:42,72.28,34.7,94.46,99.9,69.73,157.51
2026-09-17 16:26:44,74.3,35.0,95.0,99.9,71.62,160.92
2026-09-17 16:26:46,76.33,35.1,95.18,99.9,72.26,162.06
2026-09-17 16:26:48,78.35,35.2,95.36,99.9,72.9,163.22
2026-09-17 16:26:50,80.37,35.4,95.72,99.9,74.19,165.54
2026-09-17 16:26:52,82.39,35.6,96.08,99.9,75.5,167.9
2026-09-17 16:26:54,84.41,35.9,96.62,99.9,77.48,171.47
2026-09-17 16:26:56,86.44,36.2,97.16,99.9,79.5,175.1
2026-09-17 16:26:58,88.46,36.4,97.52,99.9,80.86,177.55
2026-09-17 16:27:00,90.48,36.6,97.88,99.9,82.23,180.02
2026-09-17 16:27:02,92.5,36.7,98.06,99.9,82.93,181.27
2026-09-17 16:27:04,94.53,36.9,98.42,99.9,84.32,183.78
2026-09-17 16:27:06,96.54,37.1,98.78,99.9,85.73,186.32
2026-09-17 16:27:08,98.57,37.3,99.14,99.9,87.16,188.88
2026-09-17 16:27:10,100.59,37.4,99.32,99.9,87.87,190.17
2026-09-17 16:27:12,102.61,37.6,99.68,99.9,89.32,192.77
2026-09-17 16:27:14,104.63,37.8,100.04,99.9,90.78,195.4
2026-09-17 16:27:16,106.66,38.0,100.4,99.9,92.25,198.05
2026-09-17 16:27:18,108.68,38.2,100.76,99.9,93.73,200.72
2026-09-17 16:27:20,110.7,38.5,101.3,99.9,95.99,204.78
2026-09-17 16:27:22,112.73,38.8,101.84,99.9,98.27,208.89
2026-09-17 16:27:24,114.75,39.3,102.74,99.9,102.15,215.88
2026-09-17 16:27:26,116.78,39.6,103.28,99.9,104.52,220.14
2026-09-17 16:27:28,118.8,40.0,104.0,99.9,107.73,225.91
2026-09-17 16:27:30,120.82,40.3,104.54,99.9,110.17,230.31
2026-09-17 16:27:32,122.85,40.6,105.08,99.9,112.64,234.76
2026-09-17 16:27:34,124.87,41.0,105.8,99.9,115.99,240.78
2026-09-17 16:27:36,126.89,41.4,106.52,99.9,119.39,246.9
2026-09-17 16:27:38,128.92,41.7,107.06,99.9,121.97,251.56
