Time (s),Voltage (V),Resistance (Ohm)
0.0017330646514892578,1.34,12133.61
0.0032427310943603516,1.34,12131.29
0.004765033721923828,1.34,12122.04
0.0062389373779296875,1.34,12133.61
0.007583141326904297,1.34,12119.72
0.009009361267089844,1.34,12128.98
0.009344816207885742,1.34,12119.72
0.009676694869995117,1.34,12115.09
0.01002049446105957,1.34,12124.35
0.010341644287109375,1.34,12110.47
0.01065683364868164,1.34,12110.47
0.010986804962158203,1.34,12108.16
0.01129293441772461,1.34,12098.91
0.011598587036132812,1.34,12105.84
0.011943578720092773,1.34,12089.67
0.01224517822265625,1.34,12112.78
0.014599800109863281,1.34,12108.16
0.014922380447387695,1.34,12105.84
0.015223026275634766,1.34,12112.78
0.015510082244873047,1.34,12089.67
0.015796899795532227,1.34,12110.47
0.01608586311340332,1.34,12103.53
0.016371726989746094,1.34,12096.6
0.01665663719177246,1.34,12105.84
0.016942501068115234,1.34,12085.05
0.0172274112701416,1.34,12096.6
0.0175173282623291,1.34,12091.98
0.01780414581298828,1.34,12096.6
0.018088579177856445,1.34,12098.91
0.018372774124145508,1.34,12080.43
0.01865673065185547,1.34,12087.36
0.018943309783935547,1.34,12082.74
0.019227981567382812,1.34,12075.81
0.019513368606567383,1.34,12082.74
0.01984548568725586,1.34,12066.58
0.020145893096923828,1.34,12068.88
0.020434141159057617,1.34,12075.81
0.020720720291137695,1.34,12071.19
0.02110123634338379,1.34,12078.12
0.021390676498413086,1.34,12055.04
0.02167677879333496,1.34,12043.51
0.02196526527404785,1.34,12041.2
0.022249460220336914,1.34,12045.81
0.022537708282470703,1.34,12048.12
0.033850669860839844,1.34,12031.98
0.04620218276977539,1.34,12038.9
0.058209896087646484,1.34,12022.77
0.07074356079101562,1.33,12018.16
0.08308696746826172,1.33,12018.16
0.09524941444396973,1.33,11985.94
0.10774731636047363,1.33,12004.35
0.1197960376739502,1.33,11985.94
0.13180923461914062,1.33,11974.45
0.14101529121398926,1.33,11976.75
0.15359187126159668,1.33,11969.85
0.1657414436340332,1.33,11974.45
0.17802810668945312,1.33,11962.96
0.190476655960083,1.33,11956.07
0.20158791542053223,1.33,11960.66
